"","run.code","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"1","run001",0.411251915865048,0.41153790404876,"downward.heuristic"
"2","run002",0.374969756727112,0.495838416120886,"pure.bully"
"3","run003",0.384346848905944,0.430090330894899,"downward.heuristic"
"4","run004",0.28205025575906,0.496318839414892,"pure.bully"
"5","run005",0.450194130206019,0.480660185101495,"pure.bully"
"6","run006",0.447270589701016,0.545422259035347,"pure.bully"
"7","run007",0.466194133002861,0.592648533732674,"pure.bully"
"8","run008",0.382587802265182,0.418898128862079,"pure.bully"
"9","run009",0.275569690084914,0.448679309403212,"pure.bully"
"10","run010",0.436824500580411,0.450564172478311,"pure.bully"
"11","run011",0.271623213877986,0.39247050837969,"downward.heuristic"
"12","run012",0.465963699473819,0.423389349143665,"downward.heuristic"
"13","run013",0.587682462061831,0.547042965316978,"pure.bully"
"14","run014",0.430917254113594,0.475844467669609,"pure.bully"
"15","run015",0.420015666770756,0.440425289550978,"pure.bully"
"16","run016",0.541194704152077,0.457541638844711,"pure.bully"
"17","run017",0.52873688144712,0.423423590775493,"downward.heuristic"
"18","run018",0.341719470342091,0.464608639845499,"pure.bully"
"19","run019",0.363384730023171,0.499290520705693,"pure.bully"
"20","run020",0.395265523352566,0.417606168844823,"downward.heuristic"
"21","run021",0.377714816598404,0.453382148325907,"pure.bully"
"22","run022",0.409590797186075,0.454501997600069,"downward.heuristic"
"23","run023",0.535708515643843,0.530263731689411,"pure.bully"
"24","run024",0.467426593149627,0.507082514490714,"pure.bully"
"25","run025",0.435785316582191,0.503127760353529,"pure.bully"
"26","run026",0.401654703970943,0.534152962940864,"pure.bully"
"27","run027",0.280942559740908,0.45434581250773,"pure.bully"
"28","run028",0.416186102428584,0.45962128224234,"pure.bully"
"29","run029",0.280325850911401,0.459237238241965,"pure.bully"
"30","run030",0.323023858641041,0.438688767762557,"pure.bully"
"31","run031",0.364094947622936,0.37717801106001,"downward.heuristic"
"32","run032",0.455809118447054,0.42855518373622,"downward.heuristic"
"33","run033",0.433137288906044,0.462284679373887,"pure.bully"
"34","run034",0.299381608544186,0.457174187436712,"pure.bully"
"35","run035",0.374036369492491,0.402842845061555,"downward.heuristic"
"36","run036",0.421233500619309,0.424020027844181,"downward.heuristic"
"37","run037",0.575816187069024,0.396037959707043,"downward.heuristic"
"38","run038",0.446281583307429,0.421853767205379,"downward.heuristic"
"39","run039",0.347283547191102,0.393700967954671,"downward.heuristic"
"40","run040",0.389787563104642,0.46189547960118,"downward.heuristic"
"41","run041",0.435517395622809,0.506838342100521,"pure.bully"
"42","run042",0.415884817140658,0.460330163443508,"pure.bully"
"43","run043",0.292712086807602,0.426289330895792,"pure.bully"
"44","run044",0.408579411769774,0.4292919687634,"downward.heuristic"
"45","run045",0.430877293294138,0.425174177333897,"downward.heuristic"
"46","run046",0.415550585335115,0.449780078781619,"pure.bully"
"47","run047",0.36379693872809,0.447686269805489,"pure.bully"
"48","run048",0.462093552357887,0.426400743286744,"downward.heuristic"
"49","run049",0.465287170745047,0.411349601259382,"downward.heuristic"
"50","run050",0.441312340214252,0.493706855597166,"downward.heuristic"
"51","run051",0.282584300863176,0.477049970251756,"pure.bully"
"52","run052",0.301076142611487,0.525530906877888,"pure.bully"
"53","run053",0.42684170357423,0.356590852458972,"downward.heuristic"
"54","run054",0.491725082992969,0.487611410399536,"pure.bully"
"55","run055",0.333284702061153,0.442604640152851,"pure.bully"
"56","run056",0.368790972968206,0.429745147258572,"downward.heuristic"
"57","run057",0.392295198548684,0.555036391656809,"pure.bully"
"58","run058",0.420793226401264,0.400690912319259,"downward.heuristic"
"59","run059",0.402919215358052,0.502318398135729,"pure.bully"
"60","run060",0.38858358743536,0.467572775178429,"pure.bully"
"61","run061",0.364413276949911,0.473642736067423,"pure.bully"
"62","run062",0.372267690305709,0.513024006239906,"pure.bully"
"63","run063",0.397627403889874,0.424511810748513,"downward.heuristic"
"64","run064",0.582957253015938,0.499483916894558,"downward.heuristic"
"65","run065",0.406639799329406,0.43818233732609,"pure.bully"
"66","run066",0.29487411657484,0.373183492146518,"downward.heuristic"
"67","run067",0.484615994031894,0.491429335604158,"pure.bully"
"68","run068",0.389720514323476,0.430126341263127,"downward.heuristic"
"69","run069",0.305739114007339,0.406335934323589,"downward.heuristic"
"70","run070",0.519067195526245,0.422554931232956,"downward.heuristic"
"71","run071",0.458074150182447,0.408734609221113,"downward.heuristic"
"72","run072",0.406635052063235,0.419446513260716,"downward.heuristic"
"73","run073",0.475187814637832,0.567427629707442,"pure.bully"
"74","run074",0.269087286691553,0.37254238284,"downward.heuristic"
"75","run075",0.311134774419659,0.477602325026209,"downward.heuristic"
"76","run076",0.422030921354623,0.444102513526243,"pure.bully"
"77","run077",0.515342922924405,0.453861812482394,"pure.bully"
"78","run078",0.45199569810047,0.41928701718153,"downward.heuristic"
"79","run079",0.367056004652073,0.433829896057844,"pure.bully"
"80","run080",0.382315286591598,0.457534307398501,"pure.bully"
"81","run081",0.290975874910666,0.414290367974402,"pure.bully"
"82","run082",0.42273884898761,0.494204203517958,"pure.bully"
"83","run083",0.287587315710728,0.445806488666846,"pure.bully"
"84","run084",0.48846569585098,0.374334641318272,"downward.heuristic"
"85","run085",0.424281977447103,0.400054948278612,"downward.heuristic"
"86","run086",0.239079173581003,0.387813442662666,"downward.heuristic"
"87","run087",0.518884678605003,0.486728749068577,"pure.bully"
"88","run088",0.513794906873791,0.480796231625902,"pure.bully"
"89","run089",0.509790425821156,0.438670870503911,"downward.heuristic"
"90","run090",0.391087732373504,0.47763882376423,"pure.bully"
"91","run091",0.490136389618729,0.452269284638552,"pure.bully"
"92","run092",0.444924837848463,0.361421047023139,"downward.heuristic"
"93","run093",0.358222411616167,0.451811678367021,"pure.bully"
"94","run094",0.326103036196219,0.431062306001488,"downward.heuristic"
"95","run095",0.463426197056454,0.462966064233528,"downward.heuristic"
"96","run096",0.437898943370824,0.392652315778298,"downward.heuristic"
"97","run097",0.556443093642827,0.311357354767296,"downward.heuristic"
"98","run098",0.492430830632961,0.474900711321607,"downward.heuristic"
"99","run099",0.313113911270199,0.507250124018627,"pure.bully"
"100","run100",0.304124966458963,0.471348351608088,"pure.bully"
