"","actor","subject","date","crowd","displace","total.DC","period","days"
"1","BBG","BRB","2020-03-22",0,3,3,"per0","first"
"2","BBG","GBG","2020-03-22",0,1,1,"per0","first"
"3","BBG","GGG","2020-03-22",0,5,5,"per0","first"
"4","BBG","GRG","2020-03-22",0,1,1,"per0","first"
"5","BBG","RRR","2020-03-22",0,1,1,"per0","first"
"6","BGB","BBR","2020-03-22",0,1,1,"per0","first"
"7","BRB","BBR","2020-03-22",0,1,1,"per0","first"
"8","BRB","GGG","2020-03-22",0,1,1,"per0","first"
"9","BRB","GGR","2020-03-22",0,1,1,"per0","first"
"10","BRR","BBB","2020-03-22",1,5,6,"per0","first"
"11","BRR","BBR","2020-03-22",1,0,1,"per0","first"
"12","BRR","BGG","2020-03-22",0,4,4,"per0","first"
"13","BRR","BRB","2020-03-22",1,0,1,"per0","first"
"14","BRR","RBG","2020-03-22",0,1,1,"per0","first"
"15","GBB","BBB","2020-03-22",0,22,22,"per0","first"
"16","GBB","BGB","2020-03-22",0,1,1,"per0","first"
"17","GBB","BRB","2020-03-22",0,1,1,"per0","first"
"18","GBB","GBG","2020-03-22",1,0,1,"per0","first"
"19","GBB","GGB","2020-03-22",0,9,9,"per0","first"
"20","GBB","GGG","2020-03-22",1,36,37,"per0","first"
"21","GBB","GGR","2020-03-22",0,1,1,"per0","first"
"22","GBB","GRG","2020-03-22",1,0,1,"per0","first"
"23","GBB","GRR","2020-03-22",0,3,3,"per0","first"
"24","GBG","BBB","2020-03-22",1,1,2,"per0","first"
"25","GBG","BRB","2020-03-22",0,1,1,"per0","first"
"26","GBG","GGB","2020-03-22",0,2,2,"per0","first"
"27","GBG","GGG","2020-03-22",0,2,2,"per0","first"
"28","GBG","GRR","2020-03-22",0,1,1,"per0","first"
"29","GBG","RBG","2020-03-22",0,1,1,"per0","first"
"30","GBG","RBR","2020-03-22",0,2,2,"per0","first"
"31","GBG","RRR","2020-03-22",0,2,2,"per0","first"
"32","GGB","BBB","2020-03-22",0,2,2,"per0","first"
"33","GGB","BGB","2020-03-22",0,1,1,"per0","first"
"34","GGB","BRB","2020-03-22",0,2,2,"per0","first"
"35","GGB","BRR","2020-03-22",1,3,4,"per0","first"
"36","GGB","GGG","2020-03-22",2,21,23,"per0","first"
"37","GGB","GGR","2020-03-22",0,5,5,"per0","first"
"38","GGB","GRR","2020-03-22",0,1,1,"per0","first"
"39","GGB","RBR","2020-03-22",0,3,3,"per0","first"
"40","GGB","RGR","2020-03-22",0,1,1,"per0","first"
"41","GGB","RRG","2020-03-22",0,1,1,"per0","first"
"42","GGB","RRR","2020-03-22",0,1,1,"per0","first"
"43","GGG","BBB","2020-03-22",0,18,18,"per0","first"
"44","GGG","BBR","2020-03-22",1,2,3,"per0","first"
"45","GGG","BGG","2020-03-22",1,3,4,"per0","first"
"46","GGG","BRR","2020-03-22",0,3,3,"per0","first"
"47","GGG","GGR","2020-03-22",0,6,6,"per0","first"
"48","GGG","GRG","2020-03-22",0,1,1,"per0","first"
"49","GGG","GRR","2020-03-22",0,1,1,"per0","first"
"50","GGG","RBB","2020-03-22",0,2,2,"per0","first"
"51","GGG","RBG","2020-03-22",0,1,1,"per0","first"
"52","GGG","RBR","2020-03-22",0,4,4,"per0","first"
"53","GGG","RGG","2020-03-22",0,1,1,"per0","first"
"54","GGG","RGR","2020-03-22",0,1,1,"per0","first"
"55","GGG","RRG","2020-03-22",1,0,1,"per0","first"
"56","GGG","RRR","2020-03-22",0,2,2,"per0","first"
"57","GGR","GGB","2020-03-22",0,1,1,"per0","first"
"58","GRG","BBB","2020-03-22",1,1,2,"per0","first"
"59","GRG","BGB","2020-03-22",0,1,1,"per0","first"
"60","GRG","GGB","2020-03-22",0,4,4,"per0","first"
"61","GRG","GGG","2020-03-22",0,3,3,"per0","first"
"62","GRG","GGR","2020-03-22",0,1,1,"per0","first"
"63","GRG","GRR","2020-03-22",0,1,1,"per0","first"
"64","GRG","RBR","2020-03-22",0,1,1,"per0","first"
"65","GRG","RGG","2020-03-22",0,1,1,"per0","first"
"66","GRG","RRG","2020-03-22",0,2,2,"per0","first"
"67","GRR","BBB","2020-03-22",0,2,2,"per0","first"
"68","GRR","BBR","2020-03-22",0,2,2,"per0","first"
"69","GRR","BGG","2020-03-22",1,0,1,"per0","first"
"70","GRR","BRB","2020-03-22",0,1,1,"per0","first"
"71","GRR","GGG","2020-03-22",0,1,1,"per0","first"
"72","GRR","GGR","2020-03-22",0,1,1,"per0","first"
"73","GRR","RGG","2020-03-22",0,2,2,"per0","first"
"74","GRR","RRR","2020-03-22",0,1,1,"per0","first"
"75","RBG","BGB","2020-03-22",0,1,1,"per0","first"
"76","RBG","BGG","2020-03-22",0,1,1,"per0","first"
"77","RBG","RBB","2020-03-22",0,1,1,"per0","first"
"78","RBR","BBB","2020-03-22",0,4,4,"per0","first"
"79","RBR","BBR","2020-03-22",1,0,1,"per0","first"
"80","RBR","BGB","2020-03-22",0,2,2,"per0","first"
"81","RBR","BRR","2020-03-22",0,2,2,"per0","first"
"82","RBR","GRR","2020-03-22",2,16,18,"per0","first"
"83","RBR","RBB","2020-03-22",0,1,1,"per0","first"
"84","RBR","RGG","2020-03-22",0,1,1,"per0","first"
"85","RBR","RGR","2020-03-22",0,1,1,"per0","first"
"86","RGG","BBR","2020-03-22",0,2,2,"per0","first"
"87","RGG","RGR","2020-03-22",0,3,3,"per0","first"
"88","RGR","BBB","2020-03-22",0,2,2,"per0","first"
"89","RGR","BBR","2020-03-22",0,1,1,"per0","first"
"90","RGR","BGB","2020-03-22",2,5,7,"per0","first"
"91","RGR","BRB","2020-03-22",0,1,1,"per0","first"
"92","RGR","BRR","2020-03-22",0,5,5,"per0","first"
"93","RGR","GGB","2020-03-22",1,0,1,"per0","first"
"94","RGR","GRR","2020-03-22",0,1,1,"per0","first"
"95","RRG","GGR","2020-03-22",0,1,1,"per0","first"
"96","RRG","GRR","2020-03-22",0,2,2,"per0","first"
"97","RRG","RGG","2020-03-22",0,1,1,"per0","first"
"98","RRG","RGR","2020-03-22",4,35,39,"per0","first"
"99","RRR","BBR","2020-03-22",0,2,2,"per0","first"
"100","RRR","BGG","2020-03-22",0,2,2,"per0","first"
"101","RRR","BRB","2020-03-22",0,1,1,"per0","first"
"102","RRR","BRR","2020-03-22",0,3,3,"per0","first"
"103","RRR","GGR","2020-03-22",0,6,6,"per0","first"
"104","RRR","GRR","2020-03-22",0,1,1,"per0","first"
"105","RRR","RBB","2020-03-22",0,3,3,"per0","first"
"106","RRR","RBR","2020-03-22",1,1,2,"per0","first"
"107","RRR","RGG","2020-03-22",0,1,1,"per0","first"
"108","RRR","RRG","2020-03-22",0,2,2,"per0","first"
"109","BBB","BRR","2020-03-23",0,1,1,"per0","first"
"110","BBB","GGG","2020-03-23",0,2,2,"per0","first"
"111","BBB","GRR","2020-03-23",0,1,1,"per0","first"
"112","BBG","BBB","2020-03-23",1,0,1,"per0","first"
"113","BBG","BGG","2020-03-23",0,1,1,"per0","first"
"114","BBG","BRB","2020-03-23",0,4,4,"per0","first"
"115","BBG","BRR","2020-03-23",0,1,1,"per0","first"
"116","BBG","GBG","2020-03-23",0,2,2,"per0","first"
"117","BBG","GGB","2020-03-23",0,6,6,"per0","first"
"118","BBG","GGG","2020-03-23",0,9,9,"per0","first"
"119","BBG","GGR","2020-03-23",0,1,1,"per0","first"
"120","BBG","GRG","2020-03-23",0,2,2,"per0","first"
"121","BBG","GRR","2020-03-23",0,1,1,"per0","first"
"122","BBG","RBB","2020-03-23",0,1,1,"per0","first"
"123","BBG","RRR","2020-03-23",0,1,1,"per0","first"
"124","BBR","BBB","2020-03-23",0,1,1,"per0","first"
"125","BGB","GRR","2020-03-23",0,1,1,"per0","first"
"126","BGG","BBR","2020-03-23",0,1,1,"per0","first"
"127","BGG","BGB","2020-03-23",1,0,1,"per0","first"
"128","BRB","BBB","2020-03-23",2,1,3,"per0","first"
"129","BRB","BBR","2020-03-23",0,1,1,"per0","first"
"130","BRB","GGG","2020-03-23",0,2,2,"per0","first"
"131","BRB","GRR","2020-03-23",0,1,1,"per0","first"
"132","BRR","BBB","2020-03-23",0,4,4,"per0","first"
"133","BRR","BBR","2020-03-23",1,0,1,"per0","first"
"134","BRR","BRB","2020-03-23",0,2,2,"per0","first"
"135","BRR","RBB","2020-03-23",0,1,1,"per0","first"
"136","GBB","BBB","2020-03-23",2,8,10,"per0","first"
"137","GBB","BBR","2020-03-23",0,1,1,"per0","first"
"138","GBB","BGG","2020-03-23",0,1,1,"per0","first"
"139","GBB","BRB","2020-03-23",0,1,1,"per0","first"
"140","GBB","BRR","2020-03-23",0,7,7,"per0","first"
"141","GBB","GGB","2020-03-23",0,9,9,"per0","first"
"142","GBB","GGG","2020-03-23",0,35,35,"per0","first"
"143","GBB","GGR","2020-03-23",0,1,1,"per0","first"
"144","GBB","GRG","2020-03-23",0,2,2,"per0","first"
"145","GBB","GRR","2020-03-23",0,1,1,"per0","first"
"146","GBB","RBG","2020-03-23",1,4,5,"per0","first"
"147","GBG","BBB","2020-03-23",1,3,4,"per0","first"
"148","GBG","BGB","2020-03-23",0,1,1,"per0","first"
"149","GBG","BRB","2020-03-23",0,4,4,"per0","first"
"150","GBG","BRR","2020-03-23",0,1,1,"per0","first"
"151","GBG","GGB","2020-03-23",0,1,1,"per0","first"
"152","GBG","GGG","2020-03-23",0,3,3,"per0","first"
"153","GBG","GRR","2020-03-23",0,3,3,"per0","first"
"154","GBG","RBB","2020-03-23",0,1,1,"per0","first"
"155","GBG","RBG","2020-03-23",1,1,2,"per0","first"
"156","GBG","RGG","2020-03-23",0,1,1,"per0","first"
"157","GBG","RGR","2020-03-23",0,3,3,"per0","first"
"158","GBG","RRR","2020-03-23",1,0,1,"per0","first"
"159","GGB","BBB","2020-03-23",2,3,5,"per0","first"
"160","GGB","BBR","2020-03-23",0,1,1,"per0","first"
"161","GGB","BGB","2020-03-23",1,0,1,"per0","first"
"162","GGB","BRB","2020-03-23",0,1,1,"per0","first"
"163","GGB","BRR","2020-03-23",0,3,3,"per0","first"
"164","GGB","GGG","2020-03-23",3,25,28,"per0","first"
"165","GGB","GGR","2020-03-23",0,2,2,"per0","first"
"166","GGB","GRR","2020-03-23",1,1,2,"per0","first"
"167","GGB","RGG","2020-03-23",0,2,2,"per0","first"
"168","GGB","RRG","2020-03-23",0,1,1,"per0","first"
"169","GGG","BBB","2020-03-23",3,9,12,"per0","first"
"170","GGG","BGG","2020-03-23",0,4,4,"per0","first"
"171","GGG","BRR","2020-03-23",0,4,4,"per0","first"
"172","GGG","GGR","2020-03-23",0,4,4,"per0","first"
"173","GGG","RBB","2020-03-23",0,2,2,"per0","first"
"174","GGG","RBG","2020-03-23",0,2,2,"per0","first"
"175","GGG","RGR","2020-03-23",0,1,1,"per0","first"
"176","GGG","RRG","2020-03-23",0,1,1,"per0","first"
"177","GGG","RRR","2020-03-23",0,3,3,"per0","first"
"178","GGR","RRR","2020-03-23",0,1,1,"per0","first"
"179","GRG","BBB","2020-03-23",0,1,1,"per0","first"
"180","GRG","BBR","2020-03-23",0,1,1,"per0","first"
"181","GRG","BGB","2020-03-23",1,1,2,"per0","first"
"182","GRG","BRB","2020-03-23",0,3,3,"per0","first"
"183","GRG","BRR","2020-03-23",0,1,1,"per0","first"
"184","GRG","GGB","2020-03-23",0,10,10,"per0","first"
"185","GRG","GGG","2020-03-23",1,5,6,"per0","first"
"186","GRG","GRR","2020-03-23",1,2,3,"per0","first"
"187","GRG","RBR","2020-03-23",0,1,1,"per0","first"
"188","GRG","RGG","2020-03-23",1,1,2,"per0","first"
"189","GRG","RRG","2020-03-23",0,1,1,"per0","first"
"190","GRG","RRR","2020-03-23",0,1,1,"per0","first"
"191","GRR","BGB","2020-03-23",0,1,1,"per0","first"
"192","GRR","BRB","2020-03-23",0,4,4,"per0","first"
"193","GRR","BRR","2020-03-23",0,3,3,"per0","first"
"194","GRR","GGG","2020-03-23",0,1,1,"per0","first"
"195","GRR","RRR","2020-03-23",0,1,1,"per0","first"
"196","RBG","RBR","2020-03-23",0,1,1,"per0","first"
"197","RBR","BBB","2020-03-23",0,1,1,"per0","first"
"198","RBR","BBR","2020-03-23",0,1,1,"per0","first"
"199","RBR","BRB","2020-03-23",1,0,1,"per0","first"
"200","RBR","BRR","2020-03-23",0,5,5,"per0","first"
"201","RBR","GRR","2020-03-23",0,1,1,"per0","first"
"202","RBR","RGG","2020-03-23",0,2,2,"per0","first"
"203","RGG","BBR","2020-03-23",0,4,4,"per0","first"
"204","RGR","BBR","2020-03-23",0,2,2,"per0","first"
"205","RGR","BGB","2020-03-23",0,2,2,"per0","first"
"206","RGR","BRB","2020-03-23",0,5,5,"per0","first"
"207","RGR","BRR","2020-03-23",0,1,1,"per0","first"
"208","RGR","GGR","2020-03-23",0,1,1,"per0","first"
"209","RGR","RBR","2020-03-23",0,1,1,"per0","first"
"210","RGR","RGG","2020-03-23",0,1,1,"per0","first"
"211","RGR","RRG","2020-03-23",0,8,8,"per0","first"
"212","RRG","BBB","2020-03-23",0,1,1,"per0","first"
"213","RRG","BBR","2020-03-23",2,1,3,"per0","first"
"214","RRG","BGB","2020-03-23",1,4,5,"per0","first"
"215","RRG","GRR","2020-03-23",0,4,4,"per0","first"
"216","RRG","RGG","2020-03-23",0,1,1,"per0","first"
"217","RRG","RGR","2020-03-23",0,8,8,"per0","first"
"218","RRR","BBB","2020-03-23",0,1,1,"per0","first"
"219","RRR","BRB","2020-03-23",0,2,2,"per0","first"
"220","RRR","BRR","2020-03-23",0,2,2,"per0","first"
"221","RRR","RBB","2020-03-23",0,1,1,"per0","first"
"222","RRR","RBR","2020-03-23",0,1,1,"per0","first"
"223","RRR","RGG","2020-03-23",0,1,1,"per0","first"
"224","RRR","RGR","2020-03-23",0,3,3,"per0","first"
"225","RRR","RRG","2020-03-23",0,1,1,"per0","first"
"226","BBB","GGG","2020-03-24",0,2,2,"per0","first"
"227","BBG","BBB","2020-03-24",0,1,1,"per0","first"
"228","BBG","BGG","2020-03-24",0,1,1,"per0","first"
"229","BBG","BRB","2020-03-24",0,1,1,"per0","first"
"230","BBG","GGB","2020-03-24",0,4,4,"per0","first"
"231","BBG","GGG","2020-03-24",0,14,14,"per0","first"
"232","BBG","RBB","2020-03-24",0,1,1,"per0","first"
"233","BGB","BBR","2020-03-24",0,3,3,"per0","first"
"234","BGG","BBB","2020-03-24",0,1,1,"per0","first"
"235","BRB","BBB","2020-03-24",0,3,3,"per0","first"
"236","BRB","BGG","2020-03-24",0,1,1,"per0","first"
"237","BRB","GGB","2020-03-24",0,1,1,"per0","first"
"238","BRB","RBB","2020-03-24",0,2,2,"per0","first"
"239","BRB","RBG","2020-03-24",0,1,1,"per0","first"
"240","BRB","RGG","2020-03-24",1,0,1,"per0","first"
"241","BRR","BBB","2020-03-24",0,1,1,"per0","first"
"242","BRR","BGB","2020-03-24",0,1,1,"per0","first"
"243","GBB","BBB","2020-03-24",0,13,13,"per0","first"
"244","GBB","BRB","2020-03-24",1,4,5,"per0","first"
"245","GBB","BRR","2020-03-24",0,2,2,"per0","first"
"246","GBB","GGB","2020-03-24",0,9,9,"per0","first"
"247","GBB","GGG","2020-03-24",2,75,77,"per0","first"
"248","GBB","GRG","2020-03-24",0,2,2,"per0","first"
"249","GBB","RRG","2020-03-24",0,1,1,"per0","first"
"250","GBG","BBB","2020-03-24",0,1,1,"per0","first"
"251","GBG","BRB","2020-03-24",0,3,3,"per0","first"
"252","GBG","GGB","2020-03-24",0,1,1,"per0","first"
"253","GBG","GGG","2020-03-24",1,6,7,"per0","first"
"254","GBG","GRR","2020-03-24",0,2,2,"per0","first"
"255","GBG","RBB","2020-03-24",0,2,2,"per0","first"
"256","GBG","RBG","2020-03-24",0,1,1,"per0","first"
"257","GBG","RRG","2020-03-24",0,1,1,"per0","first"
"258","GGB","BBB","2020-03-24",0,9,9,"per0","first"
"259","GGB","BBR","2020-03-24",0,1,1,"per0","first"
"260","GGB","BGB","2020-03-24",2,3,5,"per0","first"
"261","GGB","BGG","2020-03-24",0,2,2,"per0","first"
"262","GGB","BRB","2020-03-24",1,2,3,"per0","first"
"263","GGB","BRR","2020-03-24",0,3,3,"per0","first"
"264","GGB","GGG","2020-03-24",12,37,49,"per0","first"
"265","GGB","GGR","2020-03-24",0,4,4,"per0","first"
"266","GGB","RBB","2020-03-24",0,1,1,"per0","first"
"267","GGB","RBG","2020-03-24",0,1,1,"per0","first"
"268","GGB","RGG","2020-03-24",0,1,1,"per0","first"
"269","GGB","RRG","2020-03-24",0,4,4,"per0","first"
"270","GGB","RRR","2020-03-24",3,2,5,"per0","first"
"271","GGG","BBB","2020-03-24",1,20,21,"per0","first"
"272","GGG","BBR","2020-03-24",1,0,1,"per0","first"
"273","GGG","BGB","2020-03-24",0,3,3,"per0","first"
"274","GGG","BGG","2020-03-24",0,7,7,"per0","first"
"275","GGG","BRR","2020-03-24",0,2,2,"per0","first"
"276","GGG","GGB","2020-03-24",3,0,3,"per0","first"
"277","GGG","GGR","2020-03-24",0,4,4,"per0","first"
"278","GGG","RBB","2020-03-24",0,6,6,"per0","first"
"279","GGG","RBG","2020-03-24",0,3,3,"per0","first"
"280","GGG","RBR","2020-03-24",0,1,1,"per0","first"
"281","GGG","RGG","2020-03-24",0,6,6,"per0","first"
"282","GGG","RGR","2020-03-24",0,1,1,"per0","first"
"283","GGG","RRG","2020-03-24",1,3,4,"per0","first"
"284","GGG","RRR","2020-03-24",0,5,5,"per0","first"
"285","GRG","BBR","2020-03-24",0,1,1,"per0","first"
"286","GRG","BGG","2020-03-24",0,1,1,"per0","first"
"287","GRG","BRB","2020-03-24",1,7,8,"per0","first"
"288","GRG","GGB","2020-03-24",1,10,11,"per0","first"
"289","GRG","GGG","2020-03-24",1,8,9,"per0","first"
"290","GRG","GRR","2020-03-24",0,5,5,"per0","first"
"291","GRG","RBB","2020-03-24",0,1,1,"per0","first"
"292","GRG","RBG","2020-03-24",0,3,3,"per0","first"
"293","GRG","RBR","2020-03-24",0,2,2,"per0","first"
"294","GRR","BBB","2020-03-24",0,1,1,"per0","first"
"295","GRR","BBR","2020-03-24",1,1,2,"per0","first"
"296","GRR","BGB","2020-03-24",0,2,2,"per0","first"
"297","GRR","BRB","2020-03-24",0,1,1,"per0","first"
"298","GRR","GGG","2020-03-24",1,0,1,"per0","first"
"299","GRR","RGG","2020-03-24",0,5,5,"per0","first"
"300","GRR","RRR","2020-03-24",0,1,1,"per0","first"
"301","RBG","RBR","2020-03-24",0,9,9,"per0","first"
"302","RBG","RGR","2020-03-24",0,7,7,"per0","first"
"303","RBR","BBB","2020-03-24",0,2,2,"per0","first"
"304","RBR","BBR","2020-03-24",0,4,4,"per0","first"
"305","RBR","BGB","2020-03-24",0,2,2,"per0","first"
"306","RBR","GGR","2020-03-24",0,2,2,"per0","first"
"307","RBR","GRR","2020-03-24",0,9,9,"per0","first"
"308","RBR","RBB","2020-03-24",0,1,1,"per0","first"
"309","RBR","RGG","2020-03-24",0,3,3,"per0","first"
"310","RBR","RRG","2020-03-24",0,2,2,"per0","first"
"311","RGG","BBR","2020-03-24",0,1,1,"per0","first"
"312","RGG","BGB","2020-03-24",1,0,1,"per0","first"
"313","RGG","BRB","2020-03-24",0,1,1,"per0","first"
"314","RGR","BBR","2020-03-24",0,3,3,"per0","first"
"315","RGR","BGB","2020-03-24",1,0,1,"per0","first"
"316","RGR","BGG","2020-03-24",1,1,2,"per0","first"
"317","RGR","BRB","2020-03-24",0,1,1,"per0","first"
"318","RGR","BRR","2020-03-24",0,2,2,"per0","first"
"319","RGR","GRR","2020-03-24",1,0,1,"per0","first"
"320","RGR","RBB","2020-03-24",1,5,6,"per0","first"
"321","RGR","RGG","2020-03-24",0,2,2,"per0","first"
"322","RGR","RRG","2020-03-24",0,3,3,"per0","first"
"323","RRG","BBB","2020-03-24",0,2,2,"per0","first"
"324","RRG","BBR","2020-03-24",0,1,1,"per0","first"
"325","RRG","BGB","2020-03-24",0,1,1,"per0","first"
"326","RRG","BGG","2020-03-24",0,1,1,"per0","first"
"327","RRG","GRR","2020-03-24",0,4,4,"per0","first"
"328","RRR","BGB","2020-03-24",0,1,1,"per0","first"
"329","RRR","BGG","2020-03-24",1,1,2,"per0","first"
"330","RRR","GRG","2020-03-24",0,1,1,"per0","first"
"331","RRR","RBB","2020-03-24",0,1,1,"per0","first"
"332","RRR","RBR","2020-03-24",0,6,6,"per0","first"
"333","RRR","RGR","2020-03-24",0,7,7,"per0","first"
"334","BBB","GGG","2020-03-27",1,2,3,"per0","last"
"335","BBB","GRR","2020-03-27",0,2,2,"per0","last"
"336","BBB","RRG","2020-03-27",0,2,2,"per0","last"
"337","BBG","BBB","2020-03-27",0,2,2,"per0","last"
"338","BBG","BGG","2020-03-27",0,1,1,"per0","last"
"339","BBG","BRB","2020-03-27",0,4,4,"per0","last"
"340","BBG","GBG","2020-03-27",0,3,3,"per0","last"
"341","BBG","GGB","2020-03-27",1,10,11,"per0","last"
"342","BBG","GGG","2020-03-27",1,10,11,"per0","last"
"343","BBG","GRG","2020-03-27",0,2,2,"per0","last"
"344","BBG","GRR","2020-03-27",0,1,1,"per0","last"
"345","BBG","RBB","2020-03-27",0,1,1,"per0","last"
"346","BBG","RRR","2020-03-27",0,2,2,"per0","last"
"347","BGB","BBB","2020-03-27",0,2,2,"per0","last"
"348","BGB","RRG","2020-03-27",0,1,1,"per0","last"
"349","BRB","BBB","2020-03-27",0,7,7,"per0","last"
