"","actor","subject","date","crowd","displace","total.DC","period","days"
"350","BRB","BRR","2020-03-27",0,2,2,"per0","last"
"351","BRR","BBB","2020-03-27",0,3,3,"per0","last"
"352","BRR","BGB","2020-03-27",0,1,1,"per0","last"
"353","BRR","BGG","2020-03-27",0,1,1,"per0","last"
"354","BRR","BRB","2020-03-27",0,1,1,"per0","last"
"355","BRR","RBB","2020-03-27",0,1,1,"per0","last"
"356","GBB","BBB","2020-03-27",1,9,10,"per0","last"
"357","GBB","BGG","2020-03-27",0,1,1,"per0","last"
"358","GBB","BRB","2020-03-27",1,3,4,"per0","last"
"359","GBB","GGB","2020-03-27",0,13,13,"per0","last"
"360","GBB","GGG","2020-03-27",3,47,50,"per0","last"
"361","GBB","GGR","2020-03-27",0,1,1,"per0","last"
"362","GBB","GRG","2020-03-27",0,1,1,"per0","last"
"363","GBB","GRR","2020-03-27",0,1,1,"per0","last"
"364","GBB","RBB","2020-03-27",0,1,1,"per0","last"
"365","GBB","RGR","2020-03-27",0,1,1,"per0","last"
"366","GBB","RRG","2020-03-27",0,2,2,"per0","last"
"367","GBG","BBB","2020-03-27",0,2,2,"per0","last"
"368","GBG","BBR","2020-03-27",0,1,1,"per0","last"
"369","GBG","BRB","2020-03-27",0,1,1,"per0","last"
"370","GBG","GGG","2020-03-27",0,1,1,"per0","last"
"371","GBG","RBB","2020-03-27",1,0,1,"per0","last"
"372","GBG","RGG","2020-03-27",0,1,1,"per0","last"
"373","GBG","RGR","2020-03-27",0,1,1,"per0","last"
"374","GBG","RRG","2020-03-27",0,1,1,"per0","last"
"375","GGB","BBB","2020-03-27",0,7,7,"per0","last"
"376","GGB","BBR","2020-03-27",0,1,1,"per0","last"
"377","GGB","BGG","2020-03-27",0,1,1,"per0","last"
"378","GGB","BRR","2020-03-27",0,2,2,"per0","last"
"379","GGB","GBB","2020-03-27",0,1,1,"per0","last"
"380","GGB","GGG","2020-03-27",6,20,26,"per0","last"
"381","GGB","GGR","2020-03-27",0,1,1,"per0","last"
"382","GGB","GRR","2020-03-27",0,2,2,"per0","last"
"383","GGB","RBB","2020-03-27",0,1,1,"per0","last"
"384","GGB","RBR","2020-03-27",0,4,4,"per0","last"
"385","GGB","RGG","2020-03-27",0,1,1,"per0","last"
"386","GGB","RGR","2020-03-27",0,1,1,"per0","last"
"387","GGB","RRG","2020-03-27",0,3,3,"per0","last"
"388","GGB","RRR","2020-03-27",0,1,1,"per0","last"
"389","GGG","BBB","2020-03-27",4,22,26,"per0","last"
"390","GGG","BGB","2020-03-27",0,1,1,"per0","last"
"391","GGG","BGG","2020-03-27",1,3,4,"per0","last"
"392","GGG","BRB","2020-03-27",0,2,2,"per0","last"
"393","GGG","BRR","2020-03-27",0,4,4,"per0","last"
"394","GGG","GGB","2020-03-27",1,1,2,"per0","last"
"395","GGG","GGR","2020-03-27",0,4,4,"per0","last"
"396","GGG","GRR","2020-03-27",0,1,1,"per0","last"
"397","GGG","RBB","2020-03-27",0,2,2,"per0","last"
"398","GGG","RBG","2020-03-27",0,3,3,"per0","last"
"399","GGG","RBR","2020-03-27",0,16,16,"per0","last"
"400","GGG","RGG","2020-03-27",0,1,1,"per0","last"
"401","GGG","RGR","2020-03-27",0,5,5,"per0","last"
"402","GGG","RRG","2020-03-27",0,18,18,"per0","last"
"403","GGG","RRR","2020-03-27",0,1,1,"per0","last"
"404","GGR","BBB","2020-03-27",0,1,1,"per0","last"
"405","GRG","BBB","2020-03-27",0,1,1,"per0","last"
"406","GRG","GGG","2020-03-27",0,2,2,"per0","last"
"407","GRG","GGR","2020-03-27",0,1,1,"per0","last"
"408","GRG","RBG","2020-03-27",0,1,1,"per0","last"
"409","GRG","RRG","2020-03-27",0,1,1,"per0","last"
"410","GRR","BGG","2020-03-27",0,1,1,"per0","last"
"411","GRR","BRR","2020-03-27",0,1,1,"per0","last"
"412","RBB","BRB","2020-03-27",0,1,1,"per0","last"
"413","RBG","GRR","2020-03-27",0,3,3,"per0","last"
"414","RBG","RBR","2020-03-27",0,1,1,"per0","last"
"415","RBG","RGR","2020-03-27",0,1,1,"per0","last"
"416","RBR","BBB","2020-03-27",0,6,6,"per0","last"
"417","RBR","BGB","2020-03-27",0,2,2,"per0","last"
"418","RBR","BRB","2020-03-27",1,0,1,"per0","last"
"419","RBR","BRR","2020-03-27",0,1,1,"per0","last"
"420","RBR","GGB","2020-03-27",0,5,5,"per0","last"
"421","RBR","GRR","2020-03-27",0,2,2,"per0","last"
"422","RBR","RBB","2020-03-27",0,1,1,"per0","last"
"423","RBR","RGG","2020-03-27",2,6,8,"per0","last"
"424","RGG","BBB","2020-03-27",0,2,2,"per0","last"
"425","RGG","BBR","2020-03-27",0,1,1,"per0","last"
"426","RGG","BRR","2020-03-27",0,4,4,"per0","last"
"427","RGG","GGR","2020-03-27",0,2,2,"per0","last"
"428","RGG","GRR","2020-03-27",0,7,7,"per0","last"
"429","RGR","BBB","2020-03-27",1,1,2,"per0","last"
"430","RGR","BBR","2020-03-27",1,0,1,"per0","last"
"431","RGR","BGB","2020-03-27",1,3,4,"per0","last"
"432","RGR","BGG","2020-03-27",0,1,1,"per0","last"
"433","RGR","GGB","2020-03-27",0,4,4,"per0","last"
"434","RGR","GGR","2020-03-27",0,1,1,"per0","last"
"435","RGR","RGG","2020-03-27",0,1,1,"per0","last"
"436","RGR","RRG","2020-03-27",0,2,2,"per0","last"
"437","RRG","BBB","2020-03-27",0,15,15,"per0","last"
"438","RRG","BBR","2020-03-27",0,1,1,"per0","last"
"439","RRG","BGB","2020-03-27",1,6,7,"per0","last"
"440","RRG","BRB","2020-03-27",0,13,13,"per0","last"
"441","RRG","BRR","2020-03-27",0,2,2,"per0","last"
"442","RRG","GGG","2020-03-27",0,7,7,"per0","last"
"443","RRG","GGR","2020-03-27",0,1,1,"per0","last"
"444","RRG","GRR","2020-03-27",1,0,1,"per0","last"
"445","RRG","RGG","2020-03-27",0,1,1,"per0","last"
"446","RRG","RGR","2020-03-27",0,1,1,"per0","last"
"447","RRR","BRB","2020-03-27",0,1,1,"per0","last"
"448","RRR","RBR","2020-03-27",0,1,1,"per0","last"
"449","RRR","RGG","2020-03-27",0,1,1,"per0","last"
"450","RRR","RGR","2020-03-27",0,1,1,"per0","last"
"451","RRR","RRG","2020-03-27",1,1,2,"per0","last"
"452","BBB","BRB","2020-03-28",0,1,1,"per0","last"
"453","BBB","RRR","2020-03-28",0,1,1,"per0","last"
"454","BBG","BBB","2020-03-28",1,2,3,"per0","last"
"455","BBG","BRB","2020-03-28",1,2,3,"per0","last"
"456","BBG","GBB","2020-03-28",0,1,1,"per0","last"
"457","BBG","GGB","2020-03-28",1,8,9,"per0","last"
"458","BBG","GGG","2020-03-28",0,7,7,"per0","last"
"459","BBG","GRG","2020-03-28",1,1,2,"per0","last"
"460","BBG","RRG","2020-03-28",1,0,1,"per0","last"
"461","BBG","RRR","2020-03-28",0,1,1,"per0","last"
"462","BGG","BBB","2020-03-28",0,1,1,"per0","last"
"463","BGG","GRG","2020-03-28",0,1,1,"per0","last"
"464","BGG","RBG","2020-03-28",1,1,2,"per0","last"
"465","BGG","RGG","2020-03-28",0,2,2,"per0","last"
"466","BGG","RRR","2020-03-28",1,1,2,"per0","last"
"467","BRB","BBB","2020-03-28",0,2,2,"per0","last"
"468","BRB","BBR","2020-03-28",0,1,1,"per0","last"
"469","BRR","BBB","2020-03-28",0,6,6,"per0","last"
"470","BRR","BGB","2020-03-28",1,0,1,"per0","last"
"471","GBB","BBB","2020-03-28",6,10,16,"per0","last"
"472","GBB","BRB","2020-03-28",0,2,2,"per0","last"
"473","GBB","BRR","2020-03-28",1,2,3,"per0","last"
"474","GBB","GGB","2020-03-28",0,3,3,"per0","last"
"475","GBB","GGG","2020-03-28",2,14,16,"per0","last"
"476","GBB","GGR","2020-03-28",0,2,2,"per0","last"
"477","GBB","GRG","2020-03-28",0,2,2,"per0","last"
"478","GBB","RBB","2020-03-28",0,1,1,"per0","last"
"479","GBB","RBG","2020-03-28",1,4,5,"per0","last"
"480","GBB","RGR","2020-03-28",1,0,1,"per0","last"
"481","GBB","RRR","2020-03-28",1,3,4,"per0","last"
"482","GBG","BRB","2020-03-28",1,1,2,"per0","last"
"483","GBG","GGB","2020-03-28",0,2,2,"per0","last"
"484","GBG","GGG","2020-03-28",3,6,9,"per0","last"
"485","GBG","RRG","2020-03-28",0,1,1,"per0","last"
"486","GGB","BBB","2020-03-28",3,4,7,"per0","last"
"487","GGB","BBR","2020-03-28",1,1,2,"per0","last"
"488","GGB","BGG","2020-03-28",0,1,1,"per0","last"
"489","GGB","BRR","2020-03-28",0,2,2,"per0","last"
"490","GGB","GGG","2020-03-28",6,5,11,"per0","last"
"491","GGB","GGR","2020-03-28",0,1,1,"per0","last"
"492","GGB","RBB","2020-03-28",0,2,2,"per0","last"
"493","GGB","RGG","2020-03-28",1,0,1,"per0","last"
"494","GGB","RRG","2020-03-28",0,2,2,"per0","last"
"495","GGG","BBB","2020-03-28",3,8,11,"per0","last"
"496","GGG","BGB","2020-03-28",0,1,1,"per0","last"
"497","GGG","BGG","2020-03-28",0,3,3,"per0","last"
"498","GGG","BRB","2020-03-28",1,0,1,"per0","last"
"499","GGG","BRR","2020-03-28",0,2,2,"per0","last"
"500","GGG","GGB","2020-03-28",4,0,4,"per0","last"
"501","GGG","GGR","2020-03-28",1,3,4,"per0","last"
"502","GGG","GRR","2020-03-28",0,1,1,"per0","last"
"503","GGG","RBB","2020-03-28",0,2,2,"per0","last"
"504","GGG","RBG","2020-03-28",0,2,2,"per0","last"
"505","GGG","RBR","2020-03-28",0,3,3,"per0","last"
"506","GGG","RGG","2020-03-28",0,2,2,"per0","last"
"507","GGG","RGR","2020-03-28",0,5,5,"per0","last"
"508","GGG","RRG","2020-03-28",1,3,4,"per0","last"
"509","GGG","RRR","2020-03-28",0,1,1,"per0","last"
"510","GGR","BBR","2020-03-28",0,1,1,"per0","last"
"511","GGR","BGG","2020-03-28",0,1,1,"per0","last"
"512","GGR","GRR","2020-03-28",1,0,1,"per0","last"
"513","GGR","RBB","2020-03-28",0,2,2,"per0","last"
"514","GRG","BBB","2020-03-28",1,3,4,"per0","last"
"515","GRG","BGG","2020-03-28",0,1,1,"per0","last"
"516","GRG","BRR","2020-03-28",0,1,1,"per0","last"
"517","GRG","GBG","2020-03-28",0,1,1,"per0","last"
"518","GRG","GGB","2020-03-28",0,4,4,"per0","last"
"519","GRG","GGG","2020-03-28",0,3,3,"per0","last"
"520","GRG","GGR","2020-03-28",0,2,2,"per0","last"
"521","GRG","GRR","2020-03-28",0,1,1,"per0","last"
"522","GRG","RGR","2020-03-28",1,0,1,"per0","last"
"523","GRR","BRR","2020-03-28",0,1,1,"per0","last"
"524","GRR","GGG","2020-03-28",0,1,1,"per0","last"
"525","RBB","BBB","2020-03-28",0,1,1,"per0","last"
"526","RBG","BBB","2020-03-28",0,4,4,"per0","last"
"527","RBG","BBG","2020-03-28",0,1,1,"per0","last"
"528","RBG","RBB","2020-03-28",1,1,2,"per0","last"
"529","RBR","BBB","2020-03-28",0,4,4,"per0","last"
"530","RBR","BBR","2020-03-28",0,1,1,"per0","last"
"531","RBR","BGB","2020-03-28",1,1,2,"per0","last"
"532","RBR","BGG","2020-03-28",0,1,1,"per0","last"
"533","RBR","GGB","2020-03-28",0,2,2,"per0","last"
"534","RBR","GRR","2020-03-28",2,0,2,"per0","last"
"535","RBR","RBB","2020-03-28",0,1,1,"per0","last"
"536","RBR","RGG","2020-03-28",0,1,1,"per0","last"
"537","RBR","RGR","2020-03-28",1,0,1,"per0","last"
"538","RGG","BBB","2020-03-28",0,3,3,"per0","last"
"539","RGG","BBR","2020-03-28",0,1,1,"per0","last"
"540","RGG","BGB","2020-03-28",0,1,1,"per0","last"
"541","RGG","GGG","2020-03-28",0,1,1,"per0","last"
"542","RGG","GGR","2020-03-28",0,1,1,"per0","last"
"543","RGG","GRR","2020-03-28",0,1,1,"per0","last"
"544","RGR","BBB","2020-03-28",0,1,1,"per0","last"
"545","RGR","BBR","2020-03-28",0,1,1,"per0","last"
"546","RGR","BGB","2020-03-28",0,2,2,"per0","last"
"547","RGR","BGG","2020-03-28",2,1,3,"per0","last"
"548","RGR","BRR","2020-03-28",0,3,3,"per0","last"
"549","RGR","GGB","2020-03-28",0,2,2,"per0","last"
"550","RGR","RBB","2020-03-28",0,3,3,"per0","last"
"551","RGR","RGG","2020-03-28",1,0,1,"per0","last"
"552","RRG","BBB","2020-03-28",1,5,6,"per0","last"
"553","RRG","BBR","2020-03-28",0,1,1,"per0","last"
"554","RRG","BGB","2020-03-28",0,2,2,"per0","last"
"555","RRG","BRB","2020-03-28",1,9,10,"per0","last"
"556","RRG","BRR","2020-03-28",1,4,5,"per0","last"
"557","RRG","GGR","2020-03-28",0,1,1,"per0","last"
"558","RRG","GRR","2020-03-28",1,1,2,"per0","last"
"559","RRG","RBB","2020-03-28",0,1,1,"per0","last"
"560","RRR","BGB","2020-03-28",2,1,3,"per0","last"
"561","RRR","BGG","2020-03-28",1,0,1,"per0","last"
"562","RRR","BRB","2020-03-28",1,0,1,"per0","last"
"563","RRR","BRR","2020-03-28",1,0,1,"per0","last"
"564","RRR","GRR","2020-03-28",0,1,1,"per0","last"
"565","RRR","RGR","2020-03-28",1,0,1,"per0","last"
"566","RRR","RRG","2020-03-28",1,1,2,"per0","last"
"567","BBB","RBG","2020-03-29",0,1,1,"per0","last"
"568","BBB","RRG","2020-03-29",1,1,2,"per0","last"
"569","BBB","RRR","2020-03-29",0,1,1,"per0","last"
"570","BBG","BGB","2020-03-29",0,1,1,"per0","last"
"571","BBG","BRB","2020-03-29",0,10,10,"per0","last"
"572","BBG","GBG","2020-03-29",2,4,6,"per0","last"
"573","BBG","GGB","2020-03-29",0,7,7,"per0","last"
"574","BBG","GGG","2020-03-29",3,21,24,"per0","last"
"575","BBG","GRG","2020-03-29",0,6,6,"per0","last"
"576","BBG","RBG","2020-03-29",0,4,4,"per0","last"
"577","BBG","RBR","2020-03-29",0,1,1,"per0","last"
"578","BBG","RGR","2020-03-29",0,1,1,"per0","last"
"579","BBG","RRG","2020-03-29",0,2,2,"per0","last"
"580","BBG","RRR","2020-03-29",0,4,4,"per0","last"
"581","BGG","BBB","2020-03-29",0,2,2,"per0","last"
"582","BGG","BBR","2020-03-29",0,1,1,"per0","last"
"583","BGG","RGG","2020-03-29",0,1,1,"per0","last"
"584","BGG","RGR","2020-03-29",0,1,1,"per0","last"
"585","BRB","BBB","2020-03-29",0,4,4,"per0","last"
"586","BRB","BRR","2020-03-29",0,1,1,"per0","last"
"587","BRB","GGG","2020-03-29",0,1,1,"per0","last"
"588","BRB","GGR","2020-03-29",0,1,1,"per0","last"
"589","BRB","RBB","2020-03-29",0,1,1,"per0","last"
"590","BRB","RBG","2020-03-29",0,1,1,"per0","last"
"591","BRB","RGR","2020-03-29",0,1,1,"per0","last"
"592","BRB","RRR","2020-03-29",0,1,1,"per0","last"
"593","BRR","BBB","2020-03-29",0,2,2,"per0","last"
"594","BRR","RBB","2020-03-29",0,1,1,"per0","last"
"595","GBB","BBB","2020-03-29",5,19,24,"per0","last"
"596","GBB","BRB","2020-03-29",0,4,4,"per0","last"
"597","GBB","BRR","2020-03-29",0,1,1,"per0","last"
"598","GBB","GBG","2020-03-29",0,4,4,"per0","last"
"599","GBB","GGB","2020-03-29",0,5,5,"per0","last"
"600","GBB","GGG","2020-03-29",2,25,27,"per0","last"
"601","GBB","GGR","2020-03-29",1,0,1,"per0","last"
"602","GBB","GRG","2020-03-29",0,3,3,"per0","last"
"603","GBB","RBG","2020-03-29",2,5,7,"per0","last"
"604","GBB","RBR","2020-03-29",1,0,1,"per0","last"
"605","GBB","RGG","2020-03-29",1,0,1,"per0","last"
"606","GBB","RGR","2020-03-29",1,0,1,"per0","last"
"607","GBB","RRR","2020-03-29",0,6,6,"per0","last"
"608","GBG","BBB","2020-03-29",0,3,3,"per0","last"
"609","GBG","BRB","2020-03-29",0,2,2,"per0","last"
"610","GBG","BRR","2020-03-29",1,0,1,"per0","last"
"611","GBG","GGB","2020-03-29",0,2,2,"per0","last"
"612","GBG","GGG","2020-03-29",1,4,5,"per0","last"
"613","GBG","RBG","2020-03-29",0,1,1,"per0","last"
"614","GBG","RGR","2020-03-29",1,2,3,"per0","last"
"615","GBG","RRG","2020-03-29",1,1,2,"per0","last"
"616","GGB","BBB","2020-03-29",0,5,5,"per0","last"
"617","GGB","BBR","2020-03-29",0,2,2,"per0","last"
"618","GGB","BGB","2020-03-29",0,3,3,"per0","last"
"619","GGB","BGG","2020-03-29",0,2,2,"per0","last"
"620","GGB","BRB","2020-03-29",0,1,1,"per0","last"
"621","GGB","BRR","2020-03-29",1,11,12,"per0","last"
"622","GGB","GBG","2020-03-29",1,0,1,"per0","last"
"623","GGB","GGG","2020-03-29",1,23,24,"per0","last"
"624","GGB","GGR","2020-03-29",0,5,5,"per0","last"
"625","GGB","GRR","2020-03-29",0,2,2,"per0","last"
"626","GGB","RBB","2020-03-29",0,2,2,"per0","last"
"627","GGB","RBG","2020-03-29",0,4,4,"per0","last"
"628","GGB","RBR","2020-03-29",0,1,1,"per0","last"
"629","GGB","RGG","2020-03-29",0,4,4,"per0","last"
"630","GGB","RGR","2020-03-29",0,1,1,"per0","last"
"631","GGB","RRG","2020-03-29",1,0,1,"per0","last"
"632","GGB","RRR","2020-03-29",1,4,5,"per0","last"
"633","GGG","BBB","2020-03-29",1,1,2,"per0","last"
"634","GGG","BGG","2020-03-29",0,1,1,"per0","last"
"635","GGG","BRB","2020-03-29",0,1,1,"per0","last"
"636","GGG","GGR","2020-03-29",0,2,2,"per0","last"
"637","GGG","RBB","2020-03-29",1,4,5,"per0","last"
"638","GGG","RBG","2020-03-29",0,1,1,"per0","last"
"639","GGG","RBR","2020-03-29",0,2,2,"per0","last"
"640","GGG","RGR","2020-03-29",1,2,3,"per0","last"
"641","GGG","RRG","2020-03-29",0,2,2,"per0","last"
"642","GGG","RRR","2020-03-29",0,1,1,"per0","last"
"643","GGR","BBB","2020-03-29",0,1,1,"per0","last"
"644","GGR","BBR","2020-03-29",0,1,1,"per0","last"
"645","GGR","BRR","2020-03-29",1,0,1,"per0","last"
"646","GRG","BBB","2020-03-29",2,4,6,"per0","last"
"647","GRG","BBR","2020-03-29",0,1,1,"per0","last"
"648","GRG","BRB","2020-03-29",0,3,3,"per0","last"
"649","GRG","GGB","2020-03-29",2,11,13,"per0","last"
"650","GRG","GGG","2020-03-29",3,7,10,"per0","last"
"651","GRG","GGR","2020-03-29",0,2,2,"per0","last"
"652","GRG","RBR","2020-03-29",0,1,1,"per0","last"
"653","GRG","RGR","2020-03-29",0,2,2,"per0","last"
"654","GRG","RRG","2020-03-29",2,3,5,"per0","last"
"655","GRR","BBB","2020-03-29",0,1,1,"per0","last"
"656","GRR","BBR","2020-03-29",0,1,1,"per0","last"
"657","GRR","BGB","2020-03-29",1,2,3,"per0","last"
"658","GRR","BGG","2020-03-29",0,1,1,"per0","last"
"659","GRR","BRB","2020-03-29",0,1,1,"per0","last"
"660","GRR","GGR","2020-03-29",0,1,1,"per0","last"
"661","RBB","BBR","2020-03-29",0,1,1,"per0","last"
"662","RBB","GRR","2020-03-29",0,1,1,"per0","last"
"663","RBB","RGG","2020-03-29",0,1,1,"per0","last"
"664","RBG","BBB","2020-03-29",2,4,6,"per0","last"
"665","RBG","BRR","2020-03-29",0,1,1,"per0","last"
"666","RBG","GBB","2020-03-29",0,1,1,"per0","last"
"667","RBR","BBB","2020-03-29",0,3,3,"per0","last"
"668","RBR","BGB","2020-03-29",1,1,2,"per0","last"
"669","RBR","BGG","2020-03-29",0,1,1,"per0","last"
"670","RBR","BRR","2020-03-29",1,3,4,"per0","last"
"671","RBR","GGB","2020-03-29",0,5,5,"per0","last"
"672","RBR","GRR","2020-03-29",2,2,4,"per0","last"
"673","RBR","RBB","2020-03-29",0,1,1,"per0","last"
"674","RBR","RGG","2020-03-29",0,2,2,"per0","last"
"675","RBR","RRR","2020-03-29",0,1,1,"per0","last"
"676","RGG","BBB","2020-03-29",0,3,3,"per0","last"
"677","RGG","BBR","2020-03-29",1,0,1,"per0","last"
"678","RGG","RBB","2020-03-29",0,1,1,"per0","last"
"679","RGR","BBB","2020-03-29",1,3,4,"per0","last"
"680","RGR","BGB","2020-03-29",1,0,1,"per0","last"
"681","RGR","BRR","2020-03-29",1,2,3,"per0","last"
"682","RGR","GGB","2020-03-29",2,6,8,"per0","last"
"683","RGR","GGG","2020-03-29",0,2,2,"per0","last"
"684","RGR","GGR","2020-03-29",0,3,3,"per0","last"
"685","RGR","RBB","2020-03-29",0,1,1,"per0","last"
"686","RGR","RRG","2020-03-29",0,1,1,"per0","last"
"687","RRG","BBB","2020-03-29",1,13,14,"per0","last"
"688","RRG","BBR","2020-03-29",0,3,3,"per0","last"
"689","RRG","BGB","2020-03-29",0,2,2,"per0","last"
"690","RRG","BGG","2020-03-29",0,2,2,"per0","last"
"691","RRG","BRB","2020-03-29",1,18,19,"per0","last"
"692","RRG","BRR","2020-03-29",0,10,10,"per0","last"
"693","RRG","GGG","2020-03-29",2,7,9,"per0","last"
"694","RRG","GGR","2020-03-29",0,3,3,"per0","last"
"695","RRG","GRG","2020-03-29",1,0,1,"per0","last"
"696","RRG","GRR","2020-03-29",1,7,8,"per0","last"
"697","RRG","RBB","2020-03-29",1,0,1,"per0","last"
"698","RRR","BBR","2020-03-29",1,0,1,"per0","last"
"699","RRR","BRR","2020-03-29",0,1,1,"per0","last"
"700","RRR","GGR","2020-03-29",0,1,1,"per0","last"
"701","RRR","GRR","2020-03-29",0,2,2,"per0","last"
"702","RRR","RBB","2020-03-29",1,2,3,"per0","last"
"703","RRR","RBR","2020-03-29",0,1,1,"per0","last"
"704","RRR","RGR","2020-03-29",0,1,1,"per0","last"
